================================================================================
  华中杯 A 题 - 城市绿色物流配送调度 - ALNS迭代日志
================================================================================
生成时间: 2026-04-25 00:57:46
停止轮次: 600
是否收敛: False
严格车队约束: True
================================================================================

【迭代历史】
--------------------------------------------------------------------------------
      迭代 |         最佳成本 |         当前成本 |    车辆数 |       温度 |       破坏算子
     432 |     93994.91 |     94023.12 |    144 |    24.22 |      worst
     433 |     93994.91 |     94023.12 |    144 |    24.05 |      worst
     434 |     93994.91 |     94023.12 |    144 |    23.88 |      worst
     435 |     93994.91 |     94023.12 |    144 |    23.71 |    related
     436 |     93994.91 |     94023.12 |    144 |    23.54 |      worst
     437 |     93994.91 |     94023.12 |    144 |    23.38 |      worst
     438 |     93994.91 |     94023.12 |    144 |    23.22 |      worst
     439 |     93994.91 |     94023.12 |    144 |    23.05 |    related
     440 |     93994.91 |     94023.12 |    144 |    22.89 |    related
     441 |     93994.91 |     94023.12 |    144 |    22.73 |    related
     442 |     93994.91 |     94047.08 |    144 |    22.57 |      worst
     443 |     93994.91 |     94047.08 |    144 |    22.41 |      worst
     444 |     93994.91 |     94030.66 |    144 |    22.26 |      worst
     445 |     93994.91 |     94025.81 |    144 |    22.10 |      worst
     446 |     93994.91 |     94027.55 |    144 |    21.95 |      worst
     447 |     93994.91 |     94040.83 |    144 |    21.79 |      worst
     448 |     93994.91 |     94025.80 |    144 |    21.64 |      worst
     449 |     93994.91 |     94072.38 |    144 |    21.49 |      worst
     450 |     93994.91 |     94075.57 |    144 |    21.34 |      worst
     451 |     93994.91 |     94075.57 |    144 |    21.19 |      worst
     452 |     93994.91 |     94016.39 |    144 |    21.04 |      worst
     453 |     93994.91 |     94013.85 |    144 |    20.89 |      worst
     454 |     93994.91 |     94016.40 |    144 |    20.75 |      worst
     455 |     93994.91 |     94014.70 |    144 |    20.60 |      worst
     456 |     93994.91 |     94014.70 |    144 |    20.46 |      worst
     457 |     93994.91 |     94016.39 |    144 |    20.32 |      worst
     458 |     93994.91 |     94016.39 |    144 |    20.17 |      worst
     459 |     93994.91 |     94016.39 |    144 |    20.03 |      worst
     460 |     93994.91 |     94048.51 |    144 |    19.89 |      worst
     461 |     93994.91 |     94048.51 |    144 |    19.75 |      worst
     462 |     93994.91 |     94048.51 |    144 |    19.61 |      worst
     463 |     93994.91 |     94048.51 |    144 |    19.48 |      worst
     464 |     93994.91 |     94048.51 |    144 |    19.34 |      worst
     465 |     93994.91 |     94048.51 |    144 |    19.21 |      worst
     466 |     93994.91 |     94025.48 |    144 |    19.07 |      worst
     467 |     93994.91 |     94029.71 |    144 |    18.94 |      worst
     468 |     93747.15 |     93747.15 |    144 |    18.80 |      worst
     469 |     93747.15 |     93747.15 |    144 |    18.67 |    related
     470 |     93747.15 |     93747.15 |    144 |    18.54 |      worst
     471 |     93747.15 |     93747.15 |    144 |    18.41 |      worst
     472 |     93747.15 |     93747.15 |    144 |    18.28 |      worst
     473 |     93747.15 |     93747.15 |    144 |    18.16 |      worst
     474 |     93747.15 |     93747.15 |    144 |    18.03 |      worst
     475 |     93747.15 |     93750.54 |    144 |    17.90 |      worst
     476 |     93747.15 |     93750.54 |    144 |    17.78 |      worst
     477 |     93747.15 |     93748.85 |    144 |    17.65 |      worst
     478 |     93747.15 |     93748.85 |    144 |    17.53 |      worst
     479 |     93747.15 |     93748.85 |    144 |    17.41 |      worst
     480 |     93747.15 |     93756.53 |    144 |    17.28 |      worst
     481 |     93747.15 |     93756.53 |    144 |    17.16 |      worst
     482 |     93747.15 |     93756.53 |    144 |    17.04 |      worst
     483 |     93747.15 |     93756.53 |    144 |    16.92 |      worst
     484 |     93747.15 |     93755.09 |    144 |    16.81 |      worst
     485 |     93747.15 |     93755.09 |    144 |    16.69 |      worst
     486 |     93747.15 |     93755.09 |    144 |    16.57 |    related
     487 |     93747.15 |     93755.09 |    144 |    16.46 |    related
     488 |     93747.15 |     93755.09 |    144 |    16.34 |      worst
     489 |     93747.15 |     93756.42 |    144 |    16.23 |      worst
     490 |     93746.59 |     93746.59 |    144 |    16.11 |      worst
     491 |     93746.59 |     93746.59 |    144 |    16.00 |      worst
     492 |     93746.59 |     93746.59 |    144 |    15.89 |      worst
     493 |     93746.59 |     93746.59 |    144 |    15.78 |      worst
     494 |     93746.59 |     93774.70 |    144 |    15.67 |      worst
     495 |     93746.59 |     93769.47 |    144 |    15.56 |      worst
     496 |     93746.59 |     93769.47 |    144 |    15.45 |      worst
     497 |     93746.59 |     93769.47 |    144 |    15.34 |      worst
     498 |     93746.59 |     93769.47 |    144 |    15.23 |      worst
     499 |     93746.59 |     93762.15 |    144 |    15.13 |      worst
     500 |     93741.53 |     93741.53 |    144 |    15.02 |      worst
     501 |     93741.53 |     93741.53 |    144 |    14.91 |    related
     502 |     93741.53 |     93741.53 |    144 |    14.81 |      worst
     503 |     93741.53 |     93741.53 |    144 |    14.71 |      worst
     504 |     93741.53 |     93741.53 |    144 |    14.60 |      worst
     505 |     93741.53 |     93741.53 |    144 |    14.50 |      worst
     506 |     93741.53 |     93741.53 |    144 |    14.40 |      worst
     507 |     93741.53 |     93744.67 |    144 |    14.30 |      worst
     508 |     93741.53 |     93744.67 |    144 |    14.20 |      worst
     509 |     93741.53 |     93744.67 |    144 |    14.10 |      worst
     510 |     93741.53 |     93744.67 |    144 |    14.00 |      worst
     511 |     93741.53 |     93744.67 |    144 |    13.90 |      worst
     512 |     93741.53 |     93744.67 |    144 |    13.80 |      worst
     513 |     93741.53 |     93744.67 |    144 |    13.71 |      worst
     514 |     93741.53 |     93744.67 |    144 |    13.61 |      worst
     515 |     93741.53 |     93744.67 |    144 |    13.52 |      worst
     516 |     93741.53 |     93744.67 |    144 |    13.42 |      worst
     517 |     93741.53 |     93742.34 |    144 |    13.33 |      worst
     518 |     93741.53 |     93742.34 |    144 |    13.24 |      worst
     519 |     93741.53 |     93742.34 |    144 |    13.14 |      worst
     520 |     93741.53 |     93742.34 |    144 |    13.05 |      worst
     521 |     93741.53 |     93742.34 |    144 |    12.96 |      worst
     522 |     93741.53 |     93742.34 |    144 |    12.87 |      worst
     523 |     93741.53 |     93742.34 |    144 |    12.78 |      worst
     524 |     93741.53 |     93742.34 |    144 |    12.69 |      worst
     525 |     93741.53 |     93742.34 |    144 |    12.60 |      worst
     526 |     93741.53 |     93742.34 |    144 |    12.51 |      worst
     527 |     93741.53 |     93741.81 |    144 |    12.42 |      worst
     528 |     93741.53 |     93741.81 |    144 |    12.34 |      worst
     529 |     93741.53 |     93741.81 |    144 |    12.25 |      worst
     530 |     93741.53 |     93741.81 |    144 |    12.17 |      worst
     531 |     93741.53 |     93744.72 |    144 |    12.08 |      worst
     532 |     93721.81 |     93721.81 |    144 |    12.00 |      worst
     533 |     93721.81 |     93728.75 |    144 |    11.91 |      worst
     534 |     93721.81 |     93728.75 |    144 |    11.83 |      worst
     535 |     93721.81 |     93728.75 |    144 |    11.75 |      worst
     536 |     93709.96 |     93709.96 |    144 |    11.66 |      worst
     537 |     93709.96 |     93709.96 |    144 |    11.58 |      worst
     538 |     93709.96 |     93723.61 |    144 |    11.50 |      worst
     539 |     93709.96 |     93723.61 |    144 |    11.42 |      worst
     540 |     93699.53 |     93699.53 |    144 |    11.34 |      worst
     541 |     93699.53 |     93699.53 |    144 |    11.26 |      worst
     542 |     93699.53 |     93699.53 |    144 |    11.18 |      worst
     543 |     93699.53 |     93699.53 |    144 |    11.10 |      worst
     544 |     93699.53 |     93699.54 |    144 |    11.03 |      worst
     545 |     93699.53 |     93699.54 |    144 |    10.95 |      worst
     546 |     93699.53 |     93699.53 |    144 |    10.87 |      worst
     547 |     93699.53 |     93699.53 |    144 |    10.80 |      worst
     548 |     93699.53 |     93699.53 |    144 |    10.72 |      worst
     549 |     93699.53 |     93699.54 |    144 |    10.65 |      worst
     550 |     93699.53 |     93699.54 |    144 |    10.57 |      worst
     551 |     93699.53 |     93699.54 |    144 |    10.50 |      worst
     552 |     93699.53 |     93705.78 |    144 |    10.42 |      worst
     553 |     93699.53 |     93704.09 |    144 |    10.35 |      worst
     554 |     93699.53 |     93704.09 |    144 |    10.28 |      worst
     555 |     93699.53 |     93704.09 |    144 |    10.21 |      worst
     556 |     93699.53 |     93704.09 |    144 |    10.13 |      worst
     557 |     93699.53 |     93704.09 |    144 |    10.06 |      worst
     558 |     93699.53 |     93704.09 |    144 |     9.99 |      worst
     559 |     93699.53 |     93704.09 |    144 |     9.92 |      worst
     560 |     93699.53 |     93704.09 |    144 |     9.85 |     random
     561 |     93699.53 |     93704.09 |    144 |     9.78 |      worst
     562 |     93699.53 |     93705.78 |    144 |     9.72 |      worst
     563 |     93699.53 |     93699.54 |    144 |     9.65 |      worst
     564 |     93699.53 |     93699.54 |    144 |     9.58 |      worst
     565 |     93697.02 |     93697.02 |    144 |     9.51 |      worst
     566 |     93697.02 |     93697.02 |    144 |     9.45 |      worst
     567 |     93697.02 |     93699.97 |    144 |     9.38 |      worst
     568 |     93697.02 |     93699.97 |    144 |     9.32 |      worst
     569 |     93697.02 |     93699.97 |    144 |     9.25 |      worst
     570 |     93697.02 |     93699.97 |    144 |     9.19 |      worst
     571 |     93697.02 |     93699.97 |    144 |     9.12 |      worst
     572 |     93697.02 |     93699.97 |    144 |     9.06 |      worst
     573 |     93697.02 |     93699.97 |    144 |     8.99 |      worst
     574 |     93697.02 |     93697.96 |    144 |     8.93 |      worst
     575 |     93697.02 |     93697.96 |    144 |     8.87 |      worst
     576 |     93697.02 |     93697.96 |    144 |     8.81 |      worst
     577 |     93697.02 |     93697.96 |    144 |     8.74 |      worst
     578 |     93697.02 |     93698.81 |    144 |     8.68 |      worst
     579 |     93697.02 |     93704.90 |    144 |     8.62 |      worst
     580 |     93697.02 |     93704.90 |    144 |     8.56 |      worst
     581 |     93697.02 |     93704.90 |    144 |     8.50 |      worst
     582 |     93697.02 |     93704.90 |    144 |     8.44 |      worst
     583 |     93697.02 |     93704.90 |    144 |     8.38 |    related
     584 |     93697.02 |     93704.90 |    144 |     8.32 |      worst
     585 |     93697.02 |     93704.90 |    144 |     8.27 |      worst
     586 |     93697.02 |     93704.90 |    144 |     8.21 |      worst
     587 |     93692.01 |     93692.01 |    144 |     8.15 |      worst
     588 |     93692.01 |     93692.01 |    144 |     8.09 |      worst
     589 |     93692.01 |     93692.01 |    144 |     8.04 |      worst
     590 |     93692.01 |     93692.01 |    144 |     7.98 |      worst
     591 |     93692.01 |     93692.01 |    144 |     7.93 |      worst
     592 |     93692.01 |     93692.01 |    144 |     7.87 |     random
     593 |     93692.01 |     93692.01 |    144 |     7.81 |      worst
     594 |     93692.01 |     93701.71 |    144 |     7.76 |      worst
     595 |     93692.01 |     93701.71 |    144 |     7.71 |      worst
     596 |     93692.01 |     93701.71 |    144 |     7.65 |      worst
     597 |     93692.01 |     93701.71 |    144 |     7.60 |      worst
     598 |     93692.01 |     93701.71 |    144 |     7.55 |      worst
     599 |     93692.01 |     93698.80 |    144 |     7.49 |      worst
     600 |     93692.01 |     93698.80 |    144 |     7.44 |      worst

================================================================================
【最终调度方案】
================================================================================

车辆 1 (E1):
  路径: [0, 187, 322, 318, 93, 0]
  出发时间: 95.0 分钟
  能耗成本: 118.89 元
  碳排放成本: 23.61 元
  时间窗惩罚: 44.14 元

车辆 2 (E1):
  路径: [0, 127, 205, 208, 203, 0]
  出发时间: 540.0 分钟
  能耗成本: 92.72 元
  碳排放成本: 18.41 元
  时间窗惩罚: 35.56 元

车辆 3 (E1):
  路径: [0, 152, 348, 349, 345, 0]
  出发时间: 390.0 分钟
  能耗成本: 120.00 元
  碳排放成本: 23.83 元
  时间窗惩罚: 0.00 元

车辆 4 (E1):
  路径: [0, 85, 343, 167, 0]
  出发时间: 80.0 分钟
  能耗成本: 77.28 元
  碳排放成本: 15.34 元
  时间窗惩罚: 0.00 元

车辆 5 (E1):
  路径: [0, 170, 319, 337, 0]
  出发时间: 80.0 分钟
  能耗成本: 125.49 元
  碳排放成本: 24.92 元
  时间窗惩罚: 14.28 元

车辆 6 (E1):
  路径: [0, 80, 314, 315, 0]
  出发时间: 520.0 分钟
  能耗成本: 92.39 元
  碳排放成本: 18.35 元
  时间窗惩罚: 0.00 元

车辆 7 (E1):
  路径: [0, 89, 227, 228, 0]
  出发时间: 405.0 分钟
  能耗成本: 144.72 元
  碳排放成本: 28.74 元
  时间窗惩罚: 0.00 元

车辆 8 (E1):
  路径: [0, 37, 317, 133, 98, 206, 0]
  出发时间: 80.0 分钟
  能耗成本: 218.52 元
  碳排放成本: 43.39 元
  时间窗惩罚: 54.90 元

车辆 9 (O1):
  路径: [0, 254, 252, 253, 0]
  出发时间: 315.0 分钟
  能耗成本: 273.50 元
  碳排放成本: 59.50 元
  时间窗惩罚: 0.00 元

车辆 10 (O1):
  路径: [0, 104, 183, 184, 0]
  出发时间: 165.0 分钟
  能耗成本: 264.11 元
  碳排放成本: 57.46 元
  时间窗惩罚: 37.15 元

车辆 11 (O1):
  路径: [0, 304, 149, 150, 94, 0]
  出发时间: 45.0 分钟
  能耗成本: 335.46 元
  碳排放成本: 72.98 元
  时间窗惩罚: 13.28 元

车辆 12 (O1):
  路径: [0, 185, 32, 335, 0]
  出发时间: 110.0 分钟
  能耗成本: 372.31 元
  碳排放成本: 81.00 元
  时间窗惩罚: 18.52 元

车辆 13 (O1):
  路径: [0, 276, 281, 0]
  出发时间: 540.0 分钟
  能耗成本: 219.33 元
  碳排放成本: 47.72 元
  时间窗惩罚: 25.99 元

车辆 14 (O1):
  路径: [0, 115, 114, 0]
  出发时间: 150.0 分钟
  能耗成本: 154.05 元
  碳排放成本: 33.51 元
  时间窗惩罚: 0.00 元

车辆 15 (O1):
  路径: [0, 247, 246, 0]
  出发时间: 365.0 分钟
  能耗成本: 136.58 元
  碳排放成本: 29.71 元
  时间窗惩罚: 0.09 元

车辆 16 (O1):
  路径: [0, 262, 255, 257, 0]
  出发时间: 85.0 分钟
  能耗成本: 376.46 元
  碳排放成本: 81.90 元
  时间窗惩罚: 0.00 元

车辆 17 (O1):
  路径: [0, 86, 346, 347, 97, 211, 0]
  出发时间: 115.0 分钟
  能耗成本: 349.07 元
  碳排放成本: 75.94 元
  时间窗惩罚: 64.95 元

车辆 18 (O1):
  路径: [0, 275, 245, 243, 0]
  出发时间: 205.0 分钟
  能耗成本: 382.18 元
  碳排放成本: 83.14 元
  时间窗惩罚: 0.00 元

车辆 19 (O1):
  路径: [0, 179, 142, 141, 0]
  出发时间: 540.0 分钟
  能耗成本: 273.95 元
  碳排放成本: 59.60 元
  时间窗惩罚: 20.60 元

车辆 20 (O1):
  路径: [0, 311, 310, 0]
  出发时间: 540.0 分钟
  能耗成本: 228.36 元
  碳排放成本: 49.68 元
  时间窗惩罚: 11.93 元

车辆 21 (O1):
  路径: [0, 260, 256, 90, 0]
  出发时间: 95.0 分钟
  能耗成本: 369.28 元
  碳排放成本: 80.34 元
  时间窗惩罚: 16.22 元

车辆 22 (O1):
  路径: [0, 249, 250, 0]
  出发时间: 365.0 分钟
  能耗成本: 136.58 元
  碳排放成本: 29.71 元
  时间窗惩罚: 0.09 元

车辆 23 (O1):
  路径: [0, 2, 137, 138, 34, 0]
  出发时间: 540.0 分钟
  能耗成本: 321.31 元
  碳排放成本: 69.90 元
  时间窗惩罚: 3.84 元

车辆 24 (O1):
  路径: [0, 298, 242, 240, 0]
  出发时间: 320.0 分钟
  能耗成本: 320.27 元
  碳排放成本: 69.67 元
  时间窗惩罚: 0.00 元

车辆 25 (O1):
  路径: [0, 13, 3, 95, 226, 139, 0]
  出发时间: 175.0 分钟
  能耗成本: 425.10 元
  碳排放成本: 92.48 元
  时间窗惩罚: 42.67 元

车辆 26 (O1):
  路径: [0, 91, 338, 339, 341, 100, 0]
  出发时间: 535.0 分钟
  能耗成本: 364.31 元
  碳排放成本: 79.26 元
  时间窗惩罚: 15.60 元

车辆 27 (O1):
  路径: [0, 217, 215, 216, 136, 0]
  出发时间: 330.0 分钟
  能耗成本: 388.83 元
  碳排放成本: 84.59 元
  时间窗惩罚: 0.00 元

车辆 28 (O1):
  路径: [0, 238, 232, 0]
  出发时间: 540.0 分钟
  能耗成本: 296.37 元
  碳排放成本: 64.47 元
  时间窗惩罚: 0.00 元

车辆 29 (O1):
  路径: [0, 294, 293, 0]
  出发时间: 320.0 分钟
  能耗成本: 218.55 元
  碳排放成本: 47.55 元
  时间窗惩罚: 0.00 元

车辆 30 (O1):
  路径: [0, 273, 274, 0]
  出发时间: 130.0 分钟
  能耗成本: 262.95 元
  碳排放成本: 57.21 元
  时间窗惩罚: 0.00 元

车辆 31 (O1):
  路径: [0, 306, 342, 166, 0]
  出发时间: 70.0 分钟
  能耗成本: 304.90 元
  碳排放成本: 66.33 元
  时间窗惩罚: 0.00 元

车辆 32 (O1):
  路径: [0, 101, 33, 110, 0]
  出发时间: 145.0 分钟
  能耗成本: 323.25 元
  碳排放成本: 70.32 元
  时间窗惩罚: 45.62 元

车辆 33 (O1):
  路径: [0, 88, 163, 165, 164, 0]
  出发时间: 140.0 分钟
  能耗成本: 222.98 元
  碳排放成本: 48.51 元
  时间窗惩罚: 0.00 元

车辆 34 (O1):
  路径: [0, 198, 200, 0]
  出发时间: 300.0 分钟
  能耗成本: 75.07 元
  碳排放成本: 16.33 元
  时间窗惩罚: 0.00 元

车辆 35 (O1):
  路径: [0, 351, 197, 194, 195, 0]
  出发时间: 455.0 分钟
  能耗成本: 142.94 元
  碳排放成本: 31.10 元
  时间窗惩罚: 0.00 元

车辆 36 (O1):
  路径: [0, 111, 117, 0]
  出发时间: 150.0 分钟
  能耗成本: 154.05 元
  碳排放成本: 33.51 元
  时间窗惩罚: 0.00 元

车辆 37 (O1):
  路径: [0, 121, 155, 154, 0]
  出发时间: 80.0 分钟
  能耗成本: 306.98 元
  碳排放成本: 66.78 元
  时间窗惩罚: 0.95 元

车辆 38 (O1):
  路径: [0, 186, 87, 320, 159, 0]
  出发时间: 95.0 分钟
  能耗成本: 412.58 元
  碳排放成本: 89.76 元
  时间窗惩罚: 38.15 元

车辆 39 (O1):
  路径: [0, 271, 272, 0]
  出发时间: 130.0 分钟
  能耗成本: 262.95 元
  碳排放成本: 57.21 元
  时间窗惩罚: 0.00 元

车辆 40 (O1):
  路径: [0, 143, 144, 0]
  出发时间: 490.0 分钟
  能耗成本: 237.82 元
  碳排放成本: 51.74 元
  时间窗惩罚: 0.00 元

车辆 41 (E1):
  路径: [0, 131, 212, 214, 26, 0]
  出发时间: 375.0 分钟
  能耗成本: 106.60 元
  碳排放成本: 21.17 元
  时间窗惩罚: 10.51 元

车辆 42 (O1):
  路径: [0, 153, 284, 29, 0]
  出发时间: 410.0 分钟
  能耗成本: 308.77 元
  碳排放成本: 67.17 元
  时间窗惩罚: 1.51 元

车辆 43 (O1):
  路径: [0, 162, 160, 161, 0]
  出发时间: 540.0 分钟
  能耗成本: 246.98 元
  碳排放成本: 53.73 元
  时间窗惩罚: 0.00 元

车辆 44 (O1):
  路径: [0, 258, 261, 0]
  出发时间: 85.0 分钟
  能耗成本: 375.23 元
  碳排放成本: 81.63 元
  时间窗惩罚: 0.00 元

车辆 45 (O1):
  路径: [0, 146, 148, 334, 0]
  出发时间: 440.0 分钟
  能耗成本: 337.11 元
  碳排放成本: 73.34 元
  时间窗惩罚: 175.82 元

车辆 46 (O1):
  路径: [0, 76, 213, 239, 0]
  出发时间: 95.0 分钟
  能耗成本: 336.36 元
  碳排放成本: 73.17 元
  时间窗惩罚: 109.62 元

车辆 47 (O1):
  路径: [0, 308, 140, 309, 0]
  出发时间: 540.0 分钟
  能耗成本: 278.82 元
  碳排放成本: 60.66 元
  时间窗惩罚: 20.13 元

车辆 48 (O1):
  路径: [0, 263, 269, 0]
  出发时间: 115.0 分钟
  能耗成本: 84.08 元
  碳排放成本: 18.29 元
  时间窗惩罚: 0.00 元

车辆 49 (O1):
  路径: [0, 297, 292, 0]
  出发时间: 320.0 分钟
  能耗成本: 218.55 元
  碳排放成本: 47.55 元
  时间窗惩罚: 0.00 元

车辆 50 (O1):
  路径: [0, 119, 128, 129, 0]
  出发时间: 150.0 分钟
  能耗成本: 216.93 元
  碳排放成本: 47.19 元
  时间窗惩罚: 0.00 元

车辆 51 (O2):
  路径: [0, 123, 122, 0]
  出发时间: 80.0 分钟
  能耗成本: 184.32 元
  碳排放成本: 40.10 元
  时间窗惩罚: 0.00 元

车辆 52 (O1):
  路径: [0, 330, 331, 329, 0]
  出发时间: 200.0 分钟
  能耗成本: 343.99 元
  碳排放成本: 74.83 元
  时间窗惩罚: 0.00 元

车辆 53 (O1):
  路径: [0, 266, 268, 0]
  出发时间: 115.0 分钟
  能耗成本: 84.08 元
  碳排放成本: 18.29 元
  时间窗惩罚: 0.00 元

车辆 54 (O1):
  路径: [0, 241, 244, 251, 0]
  出发时间: 300.0 分钟
  能耗成本: 347.09 元
  碳排放成本: 75.51 元
  时间窗惩罚: 0.00 元

车辆 55 (O1):
  路径: [0, 282, 278, 0]
  出发时间: 540.0 分钟
  能耗成本: 219.33 元
  碳排放成本: 47.72 元
  时间窗惩罚: 25.99 元

车辆 56 (O1):
  路径: [0, 178, 176, 0]
  出发时间: 540.0 分钟
  能耗成本: 208.06 元
  碳排放成本: 45.26 元
  时间窗惩罚: 0.00 元

车辆 57 (E1):
  路径: [0, 225, 229, 19, 325, 0]
  出发时间: 505.0 分钟
  能耗成本: 146.59 元
  碳排放成本: 29.11 元
  时间窗惩罚: 0.00 元

车辆 58 (O1):
  路径: [0, 280, 323, 0]
  出发时间: 540.0 分钟
  能耗成本: 287.89 元
  碳排放成本: 62.63 元
  时间窗惩罚: 25.99 元

车辆 59 (O1):
  路径: [0, 169, 168, 0]
  出发时间: 65.0 分钟
  能耗成本: 287.51 元
  碳排放成本: 62.55 元
  时间窗惩罚: 0.00 元

车辆 60 (O1):
  路径: [0, 190, 207, 204, 0]
  出发时间: 540.0 分钟
  能耗成本: 290.19 元
  碳排放成本: 63.13 元
  时间窗惩罚: 34.70 元

车辆 61 (O1):
  路径: [0, 125, 124, 0]
  出发时间: 540.0 分钟
  能耗成本: 220.51 元
  碳排放成本: 47.97 元
  时间窗惩罚: 35.56 元

车辆 62 (O1):
  路径: [0, 230, 235, 0]
  出发时间: 540.0 分钟
  能耗成本: 296.37 元
  碳排放成本: 64.47 元
  时间窗惩罚: 0.00 元

车辆 63 (O2):
  路径: [0, 223, 5, 0]
  出发时间: 540.0 分钟
  能耗成本: 203.08 元
  碳排放成本: 44.18 元
  时间窗惩罚: 24.92 元

车辆 64 (O1):
  路径: [0, 30, 108, 105, 0]
  出发时间: 200.0 分钟
  能耗成本: 237.35 元
  碳排放成本: 51.63 元
  时间窗惩罚: 0.00 元

车辆 65 (O1):
  路径: [0, 116, 113, 0]
  出发时间: 150.0 分钟
  能耗成本: 154.05 元
  碳排放成本: 33.51 元
  时间窗惩罚: 0.00 元

车辆 66 (O1):
  路径: [0, 313, 312, 0]
  出发时间: 540.0 分钟
  能耗成本: 228.36 元
  碳排放成本: 49.68 元
  时间窗惩罚: 11.93 元

车辆 67 (O1):
  路径: [0, 295, 291, 0]
  出发时间: 320.0 分钟
  能耗成本: 218.55 元
  碳排放成本: 47.55 元
  时间窗惩罚: 0.00 元

车辆 68 (O1):
  路径: [0, 103, 102, 0]
  出发时间: 150.0 分钟
  能耗成本: 188.69 元
  碳排放成本: 41.05 元
  时间窗惩罚: 0.00 元

车辆 69 (O1):
  路径: [0, 120, 109, 107, 0]
  出发时间: 155.0 分钟
  能耗成本: 245.63 元
  碳排放成本: 53.44 元
  时间窗惩罚: 0.00 元

车辆 70 (O1):
  路径: [0, 302, 316, 303, 0]
  出发时间: 410.0 分钟
  能耗成本: 235.07 元
  碳排放成本: 51.14 元
  时间窗惩罚: 0.00 元

车辆 71 (O1):
  路径: [0, 231, 237, 0]
  出发时间: 540.0 分钟
  能耗成本: 296.37 元
  碳排放成本: 64.47 元
  时间窗惩罚: 0.00 元

车辆 72 (O1):
  路径: [0, 145, 147, 0]
  出发时间: 490.0 分钟
  能耗成本: 237.82 元
  碳排放成本: 51.74 元
  时间窗惩罚: 0.00 元

车辆 73 (O3):
  路径: [0, 201, 0]
  出发时间: 300.0 分钟
  能耗成本: 71.93 元
  碳排放成本: 15.65 元
  时间窗惩罚: 0.00 元

车辆 74 (E2):
  路径: [0, 151, 0]
  出发时间: 410.0 分钟
  能耗成本: 72.05 元
  碳排放成本: 14.31 元
  时间窗惩罚: 0.00 元

车辆 75 (O2):
  路径: [0, 175, 344, 0]
  出发时间: 535.0 分钟
  能耗成本: 228.75 元
  碳排放成本: 49.76 元
  时间窗惩罚: 0.00 元

车辆 76 (O2):
  路径: [0, 350, 0]
  出发时间: 390.0 分钟
  能耗成本: 79.23 元
  碳排放成本: 17.24 元
  时间窗惩罚: 0.00 元

车辆 77 (O3):
  路径: [0, 83, 0]
  出发时间: 340.0 分钟
  能耗成本: 40.08 元
  碳排放成本: 8.72 元
  时间窗惩罚: 0.00 元

车辆 78 (E2):
  路径: [0, 333, 0]
  出发时间: 290.0 分钟
  能耗成本: 85.82 元
  碳排放成本: 17.04 元
  时间窗惩罚: 0.00 元

车辆 79 (E2):
  路径: [0, 336, 0]
  出发时间: 330.0 分钟
  能耗成本: 89.14 元
  碳排放成本: 17.70 元
  时间窗惩罚: 0.00 元

车辆 80 (E2):
  路径: [0, 234, 0]
  出发时间: 515.0 分钟
  能耗成本: 86.08 元
  碳排放成本: 17.09 元
  时间窗惩罚: 0.00 元

车辆 81 (E2):
  路径: [0, 236, 0]
  出发时间: 515.0 分钟
  能耗成本: 86.08 元
  碳排放成本: 17.09 元
  时间窗惩罚: 0.00 元

车辆 82 (O2):
  路径: [0, 328, 327, 0]
  出发时间: 540.0 分钟
  能耗成本: 191.18 元
  碳排放成本: 41.59 元
  时间窗惩罚: 29.31 元

车辆 83 (O3):
  路径: [0, 189, 0]
  出发时间: 540.0 分钟
  能耗成本: 76.30 元
  碳排放成本: 16.60 元
  时间窗惩罚: 32.35 元

车辆 84 (O3):
  路径: [0, 188, 0]
  出发时间: 540.0 分钟
  能耗成本: 76.30 元
  碳排放成本: 16.60 元
  时间窗惩罚: 32.35 元

车辆 85 (O3):
  路径: [0, 267, 0]
  出发时间: 115.0 分钟
  能耗成本: 86.48 元
  碳排放成本: 18.81 元
  时间窗惩罚: 0.00 元

车辆 86 (O3):
  路径: [0, 264, 0]
  出发时间: 115.0 分钟
  能耗成本: 86.48 元
  碳排放成本: 18.81 元
  时间窗惩罚: 0.00 元

车辆 87 (O3):
  路径: [0, 265, 0]
  出发时间: 115.0 分钟
  能耗成本: 86.48 元
  碳排放成本: 18.81 元
  时间窗惩罚: 0.00 元

车辆 88 (O3):
  路径: [0, 270, 0]
  出发时间: 115.0 分钟
  能耗成本: 85.40 元
  碳排放成本: 18.58 元
  时间窗惩罚: 0.00 元

车辆 89 (O2):
  路径: [0, 218, 0]
  出发时间: 540.0 分钟
  能耗成本: 92.95 元
  碳排放成本: 20.22 元
  时间窗惩罚: 12.18 元

车辆 90 (E2):
  路径: [0, 233, 0]
  出发时间: 515.0 分钟
  能耗成本: 86.08 元
  碳排放成本: 17.09 元
  时间窗惩罚: 0.00 元

车辆 91 (O2):
  路径: [0, 16, 305, 0]
  出发时间: 70.0 分钟
  能耗成本: 232.88 元
  碳排放成本: 50.66 元
  时间窗惩罚: 0.00 元

车辆 92 (O2):
  路径: [0, 199, 0]
  出发时间: 300.0 分钟
  能耗成本: 75.07 元
  碳排放成本: 16.33 元
  时间窗惩罚: 0.00 元

